iter	Passed	Remaining
445	1287	1598
446	1288	1594
447	1290	1590
448	1292	1586
449	1294	1582
450	1296	1577
451	1298	1574
452	1303	1573
453	1305	1569
454	1307	1565
455	1309	1561
456	1313	1561
457	1320	1562
458	1322	1558
459	1324	1554
460	1327	1552
461	1333	1552
462	1359	1576
463	1361	1573
464	1369	1575
465	1375	1576
466	1377	1572
467	1384	1574
468	1386	1570
469	1388	1566
470	1392	1563
471	1401	1567
472	1403	1563
473	1405	1559
474	1407	1555
475	1415	1558
476	1420	1557
477	1423	1554
478	1425	1550
479	1432	1551
480	1434	1547
481	1436	1543
482	1438	1539
483	1440	1535
484	1447	1536
485	1449	1532
486	1451	1528
487	1452	1524
488	1454	1519
489	1457	1517
490	1470	1524
491	1472	1520
492	1479	1521
493	1481	1517
494	1483	1513
495	1485	1509
496	1491	1509
497	1497	1509
498	1499	1505
499	1501	1501
500	1508	1502
501	1509	1497
502	1511	1493
503	1513	1489
504	1515	1485
505	1517	1481
506	1523	1481
507	1526	1478
508	1528	1474
509	1530	1470
510	1532	1466
511	1538	1466
512	1540	1462
513	1542	1458
514	1547	1457
515	1549	1453
516	1557	1454
517	1558	1450
518	1560	1446
519	1562	1442
520	1565	1439
521	1571	1439
522	1573	1434
523	1575	1430
524	1576	1426
525	1578	1422
526	1581	1419
527	1588	1419
528	1590	1416
529	1612	1429
530	1622	1432
531	1624	1428
532	1626	1424
533	1628	1420
534	1635	1421
535	1637	1417
536	1639	1413
537	1641	1409
538	1643	1405
539	1650	1405
540	1652	1401
541	1653	1397
542	1655	1393
543	1657	1389
544	1659	1385
545	1665	1384
546	1667	1381
547	1669	1377
548	1671	1373
549	1673	1369
550	1675	1365
551	1681	1364
552	1684	1361
553	1686	1357
554	1688	1353
555	1690	1349
556	1695	1348
557	1700	1346
558	1702	1342
559	1707	1341
560	1712	1340
561	1714	1336
562	1716	1332
563	1720	1330
564	1722	1325
565	1725	1322
566	1727	1319
567	1729	1315
568	1730	1311
569	1732	1307
570	1735	1303
571	1737	1300
572	1741	1297
573	1743	1293
574	1747	1291
575	1748	1287
576	1750	1283
577	1752	1279
578	1754	1275
579	1759	1273
580	1760	1269
581	1762	1265
582	1764	1262
583	1766	1258
584	1768	1254
585	1771	1251
586	1773	1247
587	1775	1244
588	1777	1240
589	1779	1236
590	1783	1234
591	1788	1232
592	1793	1230
593	1795	1226
594	1796	1222
595	1798	1219
596	1800	1215
597	1804	1212
598	1805	1208
599	1807	1205
600	1809	1201
601	1811	1197
602	1812	1193
603	1814	1189
604	1819	1187
605	1821	1183
606	1822	1180
607	1824	1176
608	1826	1172
609	1828	1169
610	1830	1165
611	1834	1163
612	1836	1159
613	1838	1155
614	1840	1152
615	1844	1149
616	1854	1151
617	1857	1147
618	1859	1144
619	1861	1140
620	1864	1137
621	1868	1135
622	1872	1133
623	1874	1129
624	1875	1125
625	1877	1121
626	1880	1118
627	1882	1114
628	1883	1111
629	1885	1107
630	1887	1103
631	1888	1099
632	1890	1095
633	1891	1092
634	1893	1088
635	1897	1085
636	1898	1082
637	1900	1078
638	1901	1074
639	1903	1070
640	1904	1066
641	1906	1063
642	1907	1059
643	1911	1056
644	1913	1052
645	1914	1049
646	1916	1045
647	1917	1041
648	1919	1038
649	1921	1034
650	1922	1030
651	1925	1027
652	1927	1024
653	1928	1020
654	1930	1016
655	1931	1012
656	1933	1009
657	1934	1005
658	1936	1001
659	1937	998
660	1941	995
661	1942	992
662	1945	988
663	1947	985
664	1949	982
665	1954	979
666	1956	976
667	1958	973
668	1959	969
669	1961	966
670	1962	962
671	1964	958
672	1966	955
673	1968	952
674	1970	948
675	1971	944
676	1973	941
677	1974	937
678	1975	934
679	1977	930
680	1978	926
681	1983	924
682	1984	921
683	1986	917
684	1987	914
685	1989	910
686	1990	906
687	1992	903
688	1993	899
689	1996	897
690	1998	893
691	2000	890
692	2001	886
693	2003	883
694	2005	879
695	2006	876
696	2007	872
697	2009	869
698	2013	867
699	2015	863
700	2016	860
701	2017	856
702	2019	853
703	2020	849
704	2022	846
705	2029	845
706	2031	842
707	2038	840
708	2040	837
709	2048	836
710	2049	833
711	2051	829
712	2053	826
713	2056	823
714	2062	821
715	2063	818
716	2065	815
717	2067	812
718	2068	808
719	2070	805
720	2071	801
721	2077	800
722	2079	796
723	2080	793
724	2082	789
725	2083	786
726	2086	783
727	2090	781
728	2092	777
729	2094	774
730	2097	771
731	2099	768
732	2101	765
733	2107	763
734	2109	760
735	2111	757
736	2112	753
737	2113	750
738	2115	747
739	2116	743
740	2123	742
741	2124	738
742	2126	735
743	2128	732
744	2130	729
745	2137	727
746	2139	724
747	2141	721
748	2144	718
749	2147	715
750	2159	715
751	2161	712
752	2162	709
753	2169	707
754	2171	704
755	2172	701
756	2174	697
757	2175	694
758	2177	691
759	2178	688
760	2186	686
761	2187	683
762	2189	680
763	2191	676
764	2192	673
765	2197	671
766	2199	668
767	2201	665
768	2203	661
769	2206	659
770	2208	655
771	2209	652
772	2212	649
773	2214	646
774	2218	644
775	2221	641
776	2222	637
777	2231	636
778	2232	633
779	2234	630
780	2235	626
781	2237	623
782	2238	620
783	2244	618
784	2246	615
785	2247	612
786	2249	608
787	2250	605
788	2253	602
789	2255	599
790	2257	596
791	2261	593
792	2263	590
793	2265	587
794	2267	584
795	2268	581
796	2270	578
797	2275	575
798	2279	573
799	2280	570
800	2282	566
801	2283	563
802	2285	560
803	2286	557
804	2292	555
805	2294	552
806	2295	549
807	2298	546
808	2299	542
809	2302	540
810	2307	537
811	2309	534
812	2313	532
813	2315	528
814	2324	527
815	2328	525
816	2331	522
817	2332	519
818	2337	516
819	2340	513
820	2341	510
821	2343	507
822	2345	504
823	2346	501
824	2348	498
825	2354	496
826	2356	492
827	2359	490
828	2360	486
829	2363	484
830	2367	481
831	2368	478
832	2370	475
833	2371	472
834	2373	468
835	2375	466
836	2377	462
837	2378	459
838	2383	457
839	2386	454
840	2388	451
841	2389	448
842	2391	445
843	2392	442
844	2394	439
845	2399	436
846	2401	433
847	2402	430
848	2404	427
849	2405	424
850	2407	421
851	2408	418
852	2414	416
853	2418	413
854	2419	410
855	2421	407
856	2424	404
857	2428	401
858	2430	398
859	2431	395
860	2433	392
861	2435	389
862	2437	386
863	2438	383
864	2440	380
865	2445	378
866	2448	375
867	2449	372
868	2451	369
869	2452	366
870	2453	363
871	2455	360
872	2461	358
873	2463	355
874	2464	352
875	2466	349
876	2467	346
877	2469	343
878	2472	340
879	2474	337
880	2476	334
881	2478	331
882	2480	328
883	2482	325
884	2490	323
885	2492	320
886	2497	318
887	2499	315
888	2503	312
889	2507	309
890	2509	306
891	2511	304
892	2512	301
893	2514	298
894	2521	295
895	2522	292
896	2524	289
897	2525	286
898	2527	283
899	2529	281
900	2533	278
901	2535	275
902	2537	272
903	2539	269
904	2542	266
905	2543	263
906	2545	260
907	2547	258
908	2549	255
909	2551	252
910	2553	249
911	2555	246
912	2557	243
913	2558	240
914	2559	237
915	2566	235
916	2567	232
917	2569	229
918	2570	226
919	2572	223
920	2574	220
921	2580	218
922	2581	215
923	2582	212
924	2584	209
925	2585	206
926	2587	203
927	2594	201
928	2598	198
929	2599	195
930	2604	193
931	2606	190
932	2610	187
933	2612	184
934	2613	181
935	2615	178
936	2616	175
937	2618	173
938	2619	170
939	2621	167
940	2625	164
941	2627	161
942	2629	158
943	2630	156
944	2632	153
945	2633	150
946	2635	147
947	2636	144
948	2639	141
949	2641	139
950	2643	136
951	2644	133
952	2646	130
953	2648	127
954	2649	124
955	2651	122
956	2652	119
957	2656	116
958	2658	113
959	2659	110
960	2661	107
961	2662	105
962	2664	102
963	2665	99
964	2667	96
965	2671	94
966	2673	91
967	2674	88
968	2676	85
969	2679	82
970	2681	80
971	2685	77
972	2686	74
973	2688	71
974	2689	68
975	2691	66
976	2692	63
977	2694	60
978	2695	57
979	2698	55
980	2700	52
981	2702	49
982	2703	46
983	2705	43
984	2706	41
985	2708	38
986	2709	35
987	2711	32
988	2715	30
989	2716	27
990	2718	24
991	2719	21
992	2721	19
993	2722	16
994	2724	13
995	2725	10
996	2728	8
997	2731	5
998	2732	2
999	2734	0
